"score" "text"
"153" 0 "The deadline to dispute a transaction should be extended. Now it is 60 days but often I am not able to review my statements within 60 days. Need better recourse and protection against charges made by unscrupulous merchants"
"159" 0 "provide me a case number and do a call back as it was promised. Nothing was done and I haven't still received my card and also not very sure if my address details have been changed or not. this is a kind of service that I was not expecting. Pathetic."
"165" 0 "1. Responsiveness 2. Taking responsibility of my service request 3. Taking exception to accept my request"
"166" 0 "Quick understanding my requirement/query and promt action there of by your executive"
"168" 0 "The number mentioned on the Green Card does not exist"
"173" 0 "Taken the call with more responsibility."
"181" 0 "I wanted a new PIN number. I was asked to fax the form to your Gurgaon number which I did. I have not received the PIN Number till date, nor any further response from company I should have been provided my PIN number for helping me to withdraw cash. Or at least there should have been a call from your Customer Service Executive in case of any problem."
"184" 0 "Be a bit more logical in the approach to resolve the issue."
"196" 0 "The communication and the intent to help."
"204" 0 "The wait was longer than expected Wait period"
"206" 0 "People, customer care and service"
"207" 0 "A premium card has to come with premium services. After this experience I cannot convince my friends of the same."
"211" 0 "Reduce high service charges in a few places"
"215" 0 "1. On 2nd Nov or so I had taken prior approval for Rs. 2 lakhs payment to a Delhi hotel. The hotel would accept the card provided I paid 4% extra charge. I did not use the card. Unacceptable"
"216" 0 "Get me the resolution after many followups"
"221" 0 "Solved my problem!! I still don't have an answer to what do i get now as Kingfisher Gold tier is gone... what are you doing to compensate me against this..."
"227" 0 "Had i got complete information regarding qualification for the promo."
"240" 0 "speaking to the customer care executive was very informative"
"243" 0 "Acceptance of credit cards is a big pain. Even talking about the big retailers, the card is not accepted at more than 50% big retailers. And in case of day to day purchase stores or small to medium retailers, the card acceptance is even less than 20%. So I would not feel secure going for shopping with only this card, who knows it might not be accepted where i shop."
"248" 0 "She was very helpful. This was my second call regarding a similar concern, so instead of making me repeat the entire story like other CSRs (which is very frustating) she took a moment to brief herself with the background of the issue and continued the call after that."
"249" 0 "To resolve an issue, instead of replying with a pleasant conversation only."
"250" 0 "This is a lapse in your internal procedure for which we are being penalised which is hell. we hope to receive fresh vouchers in our favour at the earliest. maybe if you included more hassle free operation and reduce your fees."
"256" 0 "NOTHING SPECIFIC.MY ONLY REQUEST IS THAT YOU MAINTAIN THE CURRENT LEVEL OF SERVICE MORE ACCEPTABILITY OF company CARDS SIMILAR TO VISA / MASTERCARD"
"259" 0 "cut down the time. It is not accepted in many stores and you have very limited offers running . Not good."
"262" 0 "The service agent was extremely helpful & forthcoming !! I was able to find a solution to the problem due to his persistence."
"264" 0 "you need more retail tie up. more than 50% outlets do not take it. no specific benifit and very low card penetration"
"279" 0 "it was resolved immediately"
"283" 0 "Very disappointed to realize after having 3-4 rounds of conversations with your senior CSD executives as well, that they could not manage a simple request of getting my Bill Cycle changed. The same was committed to me by the sales guy who'd come to me for selling the card, this, alongwith many other mis-promises has made my initial experience extremely painful. Finally, I'd made up my mind to get the card cancelled, but now, I'm merely keeping it, but will not shift my expenses onto this card. Prior to the purchase, I was promised many privileges, none of them came true. I even asked the sales guy to mail me across whatever he'd told me, even that mail has not yet come."
"286" 0 "The representative was very cordial and was able to sort out my issue with ease in a short time"
"289" 0 "I am waiting for the response committed to me."
"291" 0 "I wanted to the point conversation which did not happen."
"293" 0 "The agent told me that he would call me the next day at 9PM to collect details of my other bills on which i wanted to setup an ECS instruction. But no one called back."
